"last_name, first_name",player_id,year,pa,k_percent,bb_percent,woba,xwoba,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent
"Díaz, Yandy",650490,2024,210,14.3,8.6,0.308,0.309,26.3,3.8,49.4,103.22406425,96.21549,12,43.9
"Candelario, Jeimer",600869,2024,165,26.7,6.7,0.297,0.275,35.5,6.5,34.6,97.32297,92.761181215,29.6,50.3
"Frelick, Sal",686217,2024,172,20.9,10.5,0.310,0.274,27.6,0.9,22.4,95.996490702,92.05230531,16.1,38.8
"Freeman, Freddie",518692,2024,216,16.7,14.4,0.374,0.384,49.3,9.7,43.1,100.539830278,94.741588056,21.6,49.4
"Heim, Jonah",641680,2024,166,18.1,6,0.310,0.300,26.4,8,40,99.145887778,93.8714944,18.1,52.5
"Verdugo, Alex",657077,2024,184,10.9,10.3,0.316,0.329,34,4.9,32.6,97.08049375,92.581369091,12.4,42.1
"Chapman, Matt",656305,2024,196,24.5,6.6,0.305,0.316,31.1,8.3,44.7,103.021798182,95.790162955,24.5,46.7
"Tovar, Ezequiel",678662,2024,199,29.1,4,0.328,0.272,36.6,6.9,38.2,98.620246875,93.594005078,34.6,62.2
"Pasquantino, Vinnie",686469,2024,182,13.2,10.4,0.320,0.364,31.2,10.1,47.1,101.265218551,95.154953551,14.2,44.9
"Alonso, Pete",624413,2024,200,19,8.5,0.328,0.341,32.4,13.4,36.6,100.767692817,94.492855915,21.8,46.3
"Olson, Matt",621566,2024,178,25.8,11.2,0.318,0.371,37,14.8,56.5,103.797262963,97.219054766,27.6,47.8
"Freeman, Tyler",671289,2024,158,15.2,8.2,0.310,0.321,32.7,6.2,42.5,100.138556964,94.418825893,18,47.1
"Schwarber, Kyle",656941,2024,212,31.1,16,0.325,0.344,26.1,10.8,55.9,105.076111786,97.548198288,33.5,40.7
